#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AFD7CC,,
#Date Time: 2020-09-24 15:56:27.958,,
#Sample rate: 54615Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 900 mV Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 10 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Pulse,,
#Frequency: 1 Hz,,
#Period: 1 s,,
#Amplitude: 1.25 V,,
#Offset: 0 V,,
#Symmetry: 0.8 %,,
#Phase: 0 °,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-0.074805258,-0.004771093,-0.001732853
-0.074786948,-0.008089353,0.001619309
-0.074768638,-0.008089353,0.001619309
-0.074750328,-0.008089353,0.001619309
-0.074732018,-0.008089353,0.001619309
-0.074713708,-0.008089353,0.001619309
-0.074695398,-0.008089353,0.001619309
-0.074677088,-0.008089353,0.001619309
-0.074658778,-0.008089353,0.001619309
-0.074640468,-0.008089353,0.001619309
-0.074622158,-0.008089353,0.001619309
-0.074603848,-0.008089353,-0.001732853
-0.074585538,-0.008089353,0.001619309
-0.074567228,-0.008089353,-0.001732853
-0.074548918,-0.008089353,-0.001732853
-0.074530608,-0.008089353,-0.001732853
-0.074512298,-0.008089353,-0.001732853
-0.074493988,-0.008089353,-0.001732853
-0.074475678,-0.004771093,-0.001732853
-0.074457368,-0.008089353,0.001619309
-0.074439058,-0.008089353,-0.001732853
-0.074420748,-0.008089353,-0.001732853
-0.074402438,-0.008089353,-0.001732853
-0.074384128,-0.008089353,-0.001732853
-0.074365818,-0.004771093,-0.001732853
-0.074347508,-0.008089353,0.001619309
-0.074329198,-0.004771093,0.001619309
-0.074310888,-0.004771093,0.001619309
-0.074292578,-0.004771093,0.001619309
-0.074274268,-0.008089353,0.001619309
-0.074255958,-0.004771093,0.001619309
-0.074237648,-0.004771093,0.001619309
-0.074219338,-0.008089353,0.001619309
-0.074201028,-0.008089353,0.001619309
-0.074182718,-0.008089353,0.001619309
-0.074164408,-0.004771093,0.001619309
-0.074146098,-0.008089353,0.001619309
-0.074127788,-0.008089353,-0.001732853
-0.074109478,-0.008089353,-0.001732853
-0.074091168,-0.011407614,0.001619309
-0.074072858,-0.008089353,-0.001732853
-0.074054548,-0.008089353,-0.001732853
-0.074036238,-0.008089353,-0.001732853
-0.074017928,-0.004771093,-0.001732853
-0.073999618,-0.004771093,-0.001732853
-0.073981308,-0.004771093,-0.001732853
-0.073962998,-0.004771093,-0.001732853
-0.073944688,-0.008089353,0.001619309
-0.073926378,-0.008089353,-0.001732853
-0.073908068,-0.008089353,-0.001732853
-0.073889758,-0.008089353,-0.001732853
-0.073871448,-0.008089353,-0.001732853
-0.073853138,-0.004771093,-0.001732853
-0.073834828,-0.008089353,-0.001732853
-0.073816518,-0.008089353,0.001619309
-0.073798208,-0.008089353,-0.001732853
-0.073779898,-0.004771093,0.001619309
-0.073761588,-0.008089353,-0.001732853
-0.073743278,-0.008089353,-0.001732853
-0.073724968,-0.008089353,0.001619309
-0.073706658,-0.008089353,0.001619309
-0.073688348,-0.008089353,0.001619309
-0.073670038,-0.008089353,0.001619309
-0.073651728,-0.008089353,0.001619309
-0.073633418,-0.008089353,0.001619309
-0.073615108,-0.008089353,0.001619309
-0.073596798,-0.008089353,-0.001732853
-0.073578488,-0.008089353,-0.001732853
-0.073560178,-0.008089353,0.001619309
-0.073541868,-0.008089353,0.001619309
-0.073523558,-0.008089353,0.001619309
-0.073505248,-0.008089353,0.001619309
-0.073486938,-0.008089353,-0.001732853
-0.073468628,-0.008089353,-0.001732853
-0.073450318,-0.008089353,-0.001732853
-0.073432008,-0.008089353,-0.001732853
-0.073413698,-0.008089353,-0.001732853
-0.073395388,-0.008089353,0.001619309
-0.073377078,-0.008089353,0.001619309
-0.073358768,-0.008089353,-0.001732853
-0.073340458,-0.008089353,-0.001732853
-0.073322148,-0.008089353,-0.001732853
-0.073303838,-0.008089353,0.001619309
-0.073285528,-0.008089353,0.001619309
-0.073267218,-0.008089353,-0.001732853
-0.073248908,-0.008089353,0.001619309
-0.073230598,-0.008089353,0.001619309
-0.073212288,-0.008089353,-0.001732853
-0.073193978,-0.008089353,-0.001732853
-0.073175668,-0.008089353,-0.001732853
-0.073157358,-0.004771093,-0.001732853
-0.073139048,-0.004771093,-0.001732853
-0.073120738,-0.008089353,-0.001732853
-0.073102428,-0.004771093,0.001619309
-0.073084118,-0.008089353,0.001619309
-0.073065808,-0.008089353,0.001619309
-0.073047498,-0.008089353,-0.001732853
-0.073029188,-0.004771093,0.001619309
-0.073010878,-0.008089353,0.001619309
-0.072992568,-0.008089353,0.001619309
-0.072974258,-0.008089353,0.001619309
-0.072955948,-0.008089353,0.001619309
-0.072937638,-0.004771093,0.001619309
-0.072919328,-0.008089353,-0.001732853
-0.072901018,-0.008089353,0.001619309
-0.072882708,-0.008089353,-0.001732853
-0.072864398,-0.008089353,-0.001732853
-0.072846088,-0.008089353,-0.001732853
-0.072827778,-0.008089353,0.001619309
-0.072809468,-0.008089353,-0.001732853
-0.072791158,-0.008089353,-0.001732853
-0.072772848,-0.004771093,-0.001732853
-0.072754538,-0.008089353,-0.001732853
