#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AFD7CC,,,,,
#Date Time: 2020-09-24 15:58:33.471,,,,,
#Sample rate: 54615Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 900 mV Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Pulse,,,,,
#Frequency: 1 Hz,,,,,
#Period: 1 s,,,,,
#Amplitude: 2.5 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 0.4 %,,,,,
#Phase: 0 °,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,
-0.074800882,-0.008089353,0.004971471,0.003620001,-0.748008822,10
-0.074782572,-0.004771093,0.001619309,0.001179108,-0.747302244,9.993
-0.074764262,-0.004771093,0.001619309,0.001179108,-0.746595922,9.986
-0.074745952,-0.008089353,0.001619309,0.001179108,-0.745889857,9.979
-0.074727642,-0.004771093,0.001619309,0.001179108,-0.745184048,9.972
-0.074709332,-0.008089353,0.001619309,0.001179108,-0.744478495,9.965
-0.074691022,-0.004771093,0.001619309,0.001179108,-0.743773199,9.958
-0.074672712,-0.008089353,0.001619309,0.001179108,-0.743068159,9.951
-0.074654402,-0.008089353,0.001619309,0.001179108,-0.742363375,9.944
-0.074636092,-0.008089353,-0.001732853,-0.001261786,-0.741658848,9.937
-0.074617782,-0.008089353,0.001619309,0.001179108,-0.740954577,9.93
-0.074599472,-0.004771093,0.001619309,0.001179108,-0.740250562,9.923
-0.074581162,-0.004771093,0.001619309,0.001179108,-0.739546804,9.916
-0.074562852,-0.008089353,0.001619309,0.001179108,-0.738843302,9.909
-0.074544542,-0.008089353,0.001619309,0.001179108,-0.738140057,9.902
-0.074526232,-0.008089353,0.001619309,0.001179108,-0.737437067,9.895
-0.074507922,-0.008089353,0.001619309,0.001179108,-0.736734334,9.888
-0.074489612,-0.008089353,0.001619309,0.001179108,-0.736031858,9.881
-0.074471302,-0.008089353,0.001619309,0.001179108,-0.735329638,9.874
-0.074452992,-0.008089353,-0.001732853,-0.001261786,-0.734627674,9.867
-0.074434682,-0.008089353,0.001619309,0.001179108,-0.733925966,9.86
-0.074416372,-0.008089353,-0.001732853,-0.001261786,-0.733224515,9.853
-0.074398062,-0.008089353,0.001619309,0.001179108,-0.73252332,9.846
-0.074379752,-0.008089353,0.001619309,0.001179108,-0.731822382,9.839
-0.074361442,-0.004771093,0.001619309,0.001179108,-0.731121699,9.832
-0.074343132,-0.004771093,0.001619309,0.001179108,-0.730421274,9.825
-0.074324822,-0.008089353,0.001619309,0.001179108,-0.729721104,9.818
-0.074306512,-0.004771093,0.001619309,0.001179108,-0.729021191,9.811
-0.074288202,-0.008089353,0.001619309,0.001179108,-0.728321534,9.804
-0.074269892,-0.004771093,0.001619309,0.001179108,-0.727622134,9.797
-0.074251582,-0.008089353,0.001619309,0.001179108,-0.72692299,9.79
-0.074233272,-0.004771093,0.001619309,0.001179108,-0.726224102,9.783
-0.074214962,-0.004771093,0.001619309,0.001179108,-0.72552547,9.776
-0.074196652,-0.004771093,0.004971471,0.003620001,-0.724827095,9.769
-0.074178342,-0.004771093,0.001619309,0.001179108,-0.724128976,9.762
-0.074160032,-0.004771093,0.001619309,0.001179108,-0.723431114,9.755
