#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AFD7CC
#Date Time: 2020-10-08 16:07:05.269
#Sample rate: 10239.6Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 10 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 0.1 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
1.57994348,-0.00808935339593338,-0.005085015074614087
1.58004114,-0.00808935339593338,-0.005085015074614087
1.5801388,-0.00808935339593338,-0.005085015074614087
1.58023646,-0.00808935339593338,-0.001732853119126227
1.58033412,-0.00808935339593338,-0.001732853119124703
1.58043178,-0.00808935339593338,-0.005085015074612563
1.58052944,-0.00808935339593338,-0.005085015074614087
1.5806271,-0.00808935339593338,-0.005085015074614087
1.58072476,-0.00808935339593338,-0.005085015074614087
1.58082242,-0.00808935339593338,-0.005085015074614087
1.58092008,-0.00808935339593338,-0.005085015074614087
1.58101774,-0.00808935339593338,-0.005085015074614087
1.5811154,-0.00808935339593338,-0.005085015074614087
1.58121306,-0.00808935339593338,-0.005085015074614087
1.58131072,-0.00808935339593338,-0.005085015074614087
1.58140838,-0.00808935339593338,-0.001732853119126227
1.58150604,-0.00808935339593338,-0.001732853119124703
1.5816037,-0.00808935339593338,-0.001732853119124703
1.58170136,-0.00808935339593338,-0.001732853119124703
1.58179902,-0.004771092865110673,-0.001732853119124703
1.58189668,-0.008089353395931871,-0.001732853119124703
1.58199434,-0.00808935339593338,-0.005085015074612563
1.582092,-0.00808935339593338,-0.005085015074614087
1.58218966,-0.00808935339593338,-0.005085015074614087
1.58228732,-0.00808935339593338,-0.005085015074614087
1.58238498,-0.00808935339593338,-0.005085015074614087
1.58248264,-0.00808935339593338,-0.001732853119126227
1.5825803,-0.004771092865110673,-0.005085015074612563
1.58267796,-0.008089353395931871,-0.001732853119126227
1.58277562,-0.004771092865110673,-0.005085015074612563
1.58287328,-0.008089353395931871,-0.005085015074614087
1.58297094,-0.00808935339593338,-0.005085015074614087
1.5830686,-0.00808935339593338,-0.001732853119126227
1.58316626,-0.00808935339593338,-0.001732853119124703
1.58326392,-0.004771092865110673,-0.001732853119124703
1.58336158,-0.004771092865109164,-0.001732853119124703
1.58345924,-0.008089353395931871,-0.001732853119124703
1.5835569,-0.00808935339593338,-0.001732853119124703
1.58365456,-0.00808935339593338,-0.001732853119124703
1.58375222,-0.00808935339593338,-0.001732853119124703
1.58384988,-0.00808935339593338,-0.001732853119124703
1.58394754,-0.004771092865110673,-0.001732853119124703
1.5840452,-0.004771092865109164,-0.001732853119124703
1.58414286,-0.008089353395931871,-0.001732853119124703
1.58424052,-0.00808935339593338,-0.001732853119124703
1.58433818,-0.004771092865110673,-0.001732853119124703
1.58443584,-0.004771092865109164,-0.001732853119124703
1.5845335,-0.008089353395931871,-0.005085015074612563
1.58463116,-0.00808935339593338,-0.001732853119126227
1.58472882,-0.00808935339593338,-0.005085015074612563
1.58482648,-0.00808935339593338,-0.001732853119126227
1.58492414,-0.004771092865110673,-0.001732853119124703
1.5850218,-0.008089353395931871,-0.005085015074612563
1.58511946,-0.00808935339593338,-0.005085015074614087
1.58521712,-0.00808935339593338,-0.005085015074614087
1.58531478,-0.004771092865110673,-0.001732853119126227
1.58541244,-0.008089353395931871,-0.001732853119124703
1.5855101,-0.00808935339593338,-0.005085015074612563
1.58560776,-0.00808935339593338,-0.005085015074614087
1.58570542,-0.004771092865110673,-0.001732853119126227
1.58580308,-0.008089353395931871,-0.001732853119124703
1.58590074,-0.004771092865110673,-0.001732853119124703
1.5859984,-0.004771092865109164,-0.001732853119124703
